Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Thailand,THA,25.2,25.1,24.9,24.7,24.5,24.4,24.3,24.3,24.2,24.3,24.4,24.5,24.6,24.7,24.9,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Canada,CAN,8.6,8.5,8.5,8.5,8.5,8.5,8.6,8.7,8.8,8.9,9.1,9.3,9.5,9.8,10.2,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,United States,USA,8.1,8.4,8.6,8.9,9.2,9.4,9.8,10,10.3,10.5,10.7,11,11.2,11.5,11.8,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Brazil,BRA,24.2,23.6,22.8,21.9,20.9,19.8,19,18.3,17.6,17.1,16.7,16.4,16.2,16.1,16,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Mexico,MEX,19.5,18.9,18.2,17.6,17,16.5,16,15.6,15.3,15.1,14.9,14.8,14.8,14.9,15.1,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Niger,NER,48.7,48.4,48.3,48.1,47.9,47.7,47.7,47.9,48,48.1,48.3,48.4,48.5,48.6,48.6,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Syrian Arab Republic,SYR,34.3,33.7,33.3,32.9,32.4,32,31.8,31.6,31.7,31.7,31.8,32,32.2,32.4,32.8,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,South Africa,ZAF,32.4,31.7,30.9,30.2,29.5,29,28.7,28.5,28.5,28.6,28.8,29.1,29.4,29.9,30.5,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,"Congo, Dem. Rep.",COD,51.1,50.6,50.1,49.3,48.4,47.5,46.6,45.8,44.9,44.1,43.4,42.9,42.4,42.1,41.9,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Thailand,THA,21,21.2,21.3,21.4,21.5,21.5,21.7,21.9,22,22.2,22.5,22.8,23.1,23.4,23.8,..
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,
Last Updated: 02/16/2022,,,,,,,,,,,,,,,,,,,
